X,Y,source_url,what3words,upstream,name,completeness,uuid,date_modified,source,version,physical-address,type
-22.9342179932943,16.6739482,http://www.openstreetmap.org/way/170595424,headwear.complicit.supplied,OpenStreetMap¶w170595424,Centro Médico,35.29%,d2face85e05f4eae9a5ad8cbad5f5e26,2014/01/07 15:50:56+00,OpenStreetMap,2,"CL, Murdeira",clinic
-23.7413032,15.2681895,http://www.openstreetmap.org/node/1960647494,bouncing.facially.workaholic,openstreetmap¶n1960647494,Centro Saúde Do Tarrafal,35.29%,75ef5fb249d345cda03b00cce0d9f7ef,2015/11/17 09:43:57.838+00,OpenStreetMap,2,,hospital
-23.513192527333,14.92399975,http://www.openstreetmap.org/way/236108140,shipped.presume.sugar,OpenStreetMap¶w236108140,Centro de Saude Achadadinha,35.29%,37942f58e63644af9f05da21019c14eb,2013/09/01 18:05:00+00,OpenStreetMap,2,"Rua Pedro Azancot, Praia",hospital
-23.5219262076293,14.91699485,http://www.openstreetmap.org/way/236735654,spicy.curated.parkway,OpenStreetMap¶w236735654,Centro de Saude de Tira Chapeu,29.41%,8ea99c34f8e342a69f3b922cf9b45363,2013/09/05 14:54:04+00,OpenStreetMap,2,,hospital
-25.0659562,17.020112,http://www.openstreetmap.org/node/3133582540,undergoes.sounds.diploma,openstreetmap¶n3133582540,Clinica Dentar,35.29%,6964b1f35b2744798ac5e11a3015a3f8,2015/11/17 09:43:57.838+00,OpenStreetMap,2,,hospital
-23.7535002,15.2777315,http://www.openstreetmap.org/node/1960647754,corridor.prude.carpeted,openstreetmap¶n1960647754,Delegacie de Saúde,35.29%,899a3fb80581413c9b78fba32470ed49,2015/11/17 09:43:57.838+00,OpenStreetMap,2,,hospital
-25.0693493,17.110786,http://www.openstreetmap.org/node/4171948865,trustful.sightings.shins,OpenStreetMap¶n4171948865,"Delegação Municipal;Posto Sanitário",29.41%,bcd525ff34484318993095520a0714b2,2016/05/29 16:50:33+00,OpenStreetMap,2,,hospital
-25.0676545,17.0215074,http://www.openstreetmap.org/node/3133570933,therapists.delicate.unimagined,openstreetmap¶n3133570933,Hospital,35.29%,04954856ce764b679be7d66609f0025b,2015/11/17 09:43:57.838+00,OpenStreetMap,2,,hospital
-23.5055496575217,14.9201856,http://www.openstreetmap.org/way/194252475,hook.pass.seating,OpenStreetMap¶w194252475,Hospital Agostinho Neto,35.29%,add31bddea2345ef97e57f358229e053,2013/10/03 11:18:49+00,OpenStreetMap,2,"Rua Borjona de Freitas, Praia",hospital
-22.9353683938757,16.7487616,http://www.openstreetmap.org/way/236852997,steeps.unsafe.coyote,OpenStreetMap¶w236852997,Hospital Ramiro Figueira,29.41%,809cfd2725cc46dc8e261c50ee46e363,2016/04/26 19:08:51+00,OpenStreetMap,2,,hospital
-25.0646205,17.1798365,http://www.openstreetmap.org/node/2229625198,barked.paraphrase.dashboard,openstreetmap¶n2229625198,Hospital Regional Dr. João Morais,35.29%,853848105e1b43f98ec45de449a1495d,2015/11/17 09:43:57.838+00,OpenStreetMap,2,,hospital
-23.55580475,14.9605595,http://www.openstreetmap.org/way/239654104,shopper.expanding.worktable,OpenStreetMap¶w239654104,"Hospital de Trindade, Psicatria",29.41%,8f43d955dafd45d690c801d04e710a2b,2015/03/03 19:31:13+00,OpenStreetMap,2,,hospital
-23.508259951843,14.92413455,http://www.openstreetmap.org/way/236839620,rooftop.snares.packing,OpenStreetMap¶w236839620,PMI,35.29%,2fd48d6ecb894d55b12e6b22bbe6791d,2013/09/06 12:54:23+00,OpenStreetMap,2,Praia,hospital
-25.3109034,16.9575947,http://www.openstreetmap.org/node/4173228597,complications.battling.safety,OpenStreetMap¶n4173228597,Posto Sanitário,29.41%,dd91d2a02bda43389b7e4439570a7fdc,2017/01/06 21:55:55+00,OpenStreetMap,2,,hospital
-25.1612827,17.1241756,http://www.openstreetmap.org/node/2477944574,squirrels.devours.longitudes,OpenStreetMap¶n2477944574,Posto Sanitário da Garça,29.41%,c84cbe99dcfe415da2070cc8632c047e,2016/07/09 17:45:57+00,OpenStreetMap,2,,hospital
-25.0363816,17.1023434,http://www.openstreetmap.org/node/4596256400,dour.utterance.raggedly,OpenStreetMap¶n4596256400,Unidad Sanitaria de Base,29.41%,6e9f1219949941eeb6c25d6aa96cbaac,2017/01/08 12:53:23+00,OpenStreetMap,2,,hospital
-25.0475972,17.127288,http://www.openstreetmap.org/node/2444646397,thrive.collaborating.slangy,OpenStreetMap¶n2444646397,posto sanitario,35.29%,d57a4b41b34e487b80dd63c5c87ef37f,2016/02/24 11:11:14+00,OpenStreetMap,2,Cha de Joao Vaz,hospital
